Source Name,Sample Name,Characteristics: Organism,Factor Value: Strain,Characteristics: sex,Characteristics: Material Type,Protocol REF,Comment: plate,Comment: plate well,Protocol REF,Factor Value: Ionizing Radiation,Factor Value: Particle Charge,Factor Value: HZE,Parameter Value: ionizing radiation energy,Parameter Value: linear energy transfer,Parameter Value: absorbed radiation dose rate,Factor Value: Absorbed Radiation Dose,Factor Value: Time of Sample Collection After Treatment,Parameter Value: average fractionated dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation source,Parameter Value: ionizing radiation facility
903CC,903CC_P206_H8_CC032_MALE_1,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P206,H8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
906CC,906CC_P206_D9_CC032_MALE_1,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P206,D9,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
903CC,903CC_P227_H8_CC032_MALE_2,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P227,H8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
906CC,906CC_P227_D9_CC032_MALE_2,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P227,D9,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
263CC,263CC_P206_C2_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P206,C2,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
882CC,882CC_P206_B10_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P206,B10,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
946CC,946CC_P206_A9_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P206,A9,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
263CC,263CC_P227_C2_CC037_FEMALE_2,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P227,C2,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
882CC,882CC_P227_B10_CC037_FEMALE_2,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P227,B10,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
946CC,946CC_P227_A9_CC037_FEMALE_2,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P227,A9,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
220CC,220CC_P206_B2_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P206,B2,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
239CC,239CC_P206_F3_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P206,F3,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
894CC,894CC_P206_G8_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P206,G8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
220CC,220CC_P227_B2_CC037_MALE_2,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P227,B2,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
239CC,239CC_P227_F3_CC037_MALE_2,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P227,F3,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
894CC,894CC_P227_G8_CC037_MALE_2,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P227,G8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
258CC,258CC_P206_B8_CC040_FEMALE_1,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P206,B8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
951CC,951CC_P206_D5_CC040_FEMALE_1,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P206,D5,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
258CC,258CC_P227_B8_CC040_FEMALE_2,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P227,B8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
951CC,951CC_P227_D5_CC040_FEMALE_2,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P227,D5,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
954CC,954CC_P206_C6_CC040_MALE_1,Mus musculus,CC040,male,primary cultured fibroblast cell,growth protocol,P206,C6,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
954CC,954CC_P227_C6_CC040_MALE_2,Mus musculus,CC040,male,primary cultured fibroblast cell,growth protocol,P227,C6,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
261CC,261CC_P206_D7_CC042_FEMALE_1,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P206,D7,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
915CC,915CC_P206_B6_CC042_FEMALE_1,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P206,B6,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
261CC,261CC_P227_D7_CC042_FEMALE_2,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P227,D7,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
915CC,915CC_P227_B6_CC042_FEMALE_2,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P227,B6,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
921CC,921CC_P206_C9_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P206,C9,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
922CC,922CC_P206_C10_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P206,C10,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
923CC,923CC_P206_D10_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P206,D10,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
921CC,921CC_P227_C9_CC051_FEMALE_2,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P227,C9,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
922CC,922CC_P227_C10_CC051_FEMALE_2,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P227,C10,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
923CC,923CC_P227_D10_CC051_FEMALE_2,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P227,D10,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
280CC,280CC_P206_D8_CC051_MALE_1,Mus musculus,CC051,male,primary cultured fibroblast cell,growth protocol,P206,D8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
280CC,280CC_P227_D8_CC051_MALE_2,Mus musculus,CC051,male,primary cultured fibroblast cell,growth protocol,P227,D8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
260CC,260CC_P206_F8_CC061_FEMALE_1,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P206,F8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
893CC,893CC_P206_A10_CC061_FEMALE_1,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P206,A10,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
260CC,260CC_P227_F8_CC061_FEMALE_2,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P227,F8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
893CC,893CC_P227_A10_CC061_FEMALE_2,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P227,A10,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
255CC,255CC_P206_E8_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P206,E8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
256CC,256CC_P206_E1_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P206,E1,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
257CC,257CC_P206_A2_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P206,A2,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
255CC,255CC_P227_E8_CC061_MALE_2,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P227,E8,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
256CC,256CC_P227_E1_CC061_MALE_2,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P227,E1,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
257CC,257CC_P227_A2_CC061_MALE_2,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P227,A2,irradiation protocol,highly charged energetic nuclei,14,Si-28 ion radiation,350 megaelectronvolt per nucleon,63 kiloelectronvolt per micron,1 gray per minute,0.3 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F1,B6C3F1_P211_F4_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P211,F4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3F2,B6C3F2_P211_E3_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P211,E3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3F3,B6C3F3_P211_D4_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P211,D4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3F1,B6C3F1_P222_F4_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P222,F4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3F2,B6C3F2_P222_E3_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P222,E3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3F3,B6C3F3_P222_D4_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P222,D4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3M1,B6C3M1_P211_C3_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P211,C3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3M2,B6C3M2_P211_D3_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P211,D3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3M3,B6C3M3_P211_C4_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P211,C4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3M1,B6C3M1_P222_C3_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P222,C3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3M2,B6C3M2_P222_D3_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P222,D3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3M3,B6C3M3_P222_C4_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P222,C4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCF,BALBCF_P211_F7_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P211,F7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCF1,BALBCF1_P211_G5_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P211,G5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCF2,BALBCF2_P211_H5_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P211,H5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCF,BALBCF_P222_F7_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P222,F7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCF1,BALBCF1_P222_G5_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P222,G5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCF2,BALBCF2_P222_H5_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P222,H5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCM1,BALBCM1_P211_G6_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P211,G6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCM2,BALBCM2_P211_H6_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P211,H6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCM3,BALBCM3_P211_E5_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P211,E5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCM1,BALBCM1_P222_G6_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P222,G6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCM2,BALBCM2_P222_H6_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P222,H6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCM3,BALBCM3_P222_E5_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P222,E5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HF1,C3HF1_P211_H2_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P211,H2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HF2,C3HF2_P211_G1_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P211,G1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HF3,C3HF3_P211_H1_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P211,H1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HF1,C3HF1_P222_H2_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P222,H2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HF2,C3HF2_P222_G1_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P222,G1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HF3,C3HF3_P222_H1_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P222,H1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HM1,C3HM1_P211_F2_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P211,F2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HM2,C3HM2_P211_G2_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P211,G2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HM3,C3HM3_P211_A1_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P211,A1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HM1,C3HM1_P222_F2_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P222,F2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HM2,C3HM2_P222_G2_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P222,G2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HM3,C3HM3_P222_A1_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P222,A1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
